Id,Label,Station Id,Latitude,Longitude,Capacity,PhysicalConfiguration,PostalCode,PostalCodeArea,Name
Yarmouth Rd / Christie St,Yarmouth Rd / Christie St,7149,43.67,-79.42083333,11,REGULAR,NULL,NULL,Yarmouth Rd / Christie St
Bay St / Albert St,Bay St / Albert St,7021,43.653264,-79.382458,35,REGULAR,NULL,NULL,Bay St / Albert St
Seaton St / Dundas St E - SMART,Seaton St / Dundas St E - SMART,7109,43.658777,-79.369596,32,SMARTMAPFRAME,NULL,NULL,Seaton St / Dundas St E - SMART
Lumsden Ave / Cedarvale Ave,Lumsden Ave / Cedarvale Ave,7715,43.693187,-79.314283,11,REGULAR,M4C 4K4,M4C,NULL
Dupont St / Emerson Ave SMART,Dupont St / Emerson Ave SMART,7369,43.667266,-79.443946,16,SMARTMAPFRAME,NULL,NULL,Dupont St / Emerson Ave SMART
Tecumseth St / Queen St W - SMART,Tecumseth St / Queen St W - SMART,7245,43.646552,-79.406468,9,SMARTMAPFRAME,NULL,NULL,Tecumseth St / Queen St W - SMART
High Park Subway Station,High Park Subway Station,7221,43.6543604,-79.4655296,11,REGULAR,NULL,NULL,High Park Subway Station
University Ave / Queen St W,University Ave / Queen St W,7407,43.65158,-79.38655,23,REGULAR,M5H 2N5,M5H,University Ave / Queen St W
Broadview Subway Station,Broadview Subway Station,7388,43.6772,-79.35858,15,REGULAR,NULL,NULL,Broadview Ave / Danforth Ave
The Royal Ontario Museum (Bloor St Entrance),The Royal Ontario Museum (Bloor St Entrance),7251,43.66850005,-79.3946236,19,REGULAR,M5S 2C7,M5S,The Royal Ontario Museum (Bloor St Entrance)
Walnut Ave / Queen St W,Walnut Ave / Queen St W,7534,43.645469,-79.411084,16,REGULAR,M6J 1G4,M6J,Walnut Ave / Queen St W
Roxton Rd / Harbord St,Roxton Rd / Harbord St,7196,43.65905,-79.422988,11,REGULAR,NULL,NULL,Roxton Rd / Harbord St
439 Sherbourne St,439 Sherbourne St,7549,43.666051,-79.374161,47,REGULAR,M4X 1K6,M4X,439 Sherbourne St
Yonge St / Orchard View Blvd,Yonge St / Orchard View Blvd,7381,43.7083577,-79.398862,35,REGULAR,M4P 2E6,M4P,Yonge St / Orchard View Blvd
Spadina Ave / Willcocks St,Spadina Ave / Willcocks St,7170,43.6616667,-79.40138889,15,REGULAR,NULL,NULL,Spadina Ave / Willcocks St
Woodbine Ave / O'Connor Dr,Woodbine Ave / O'Connor Dr,7602,43.699281,-79.318802,19,REGULAR,M4C 4G9,M4C,Woodbine Ave / O'Connor Dr
Dundas St W / Watkinson Ave,Dundas St W / Watkinson Ave,7413,0,0,0,NULL,NULL,NULL,Dundas St W / Watkinson Ave
Cosburn Ave / Cedarvale Ave,Cosburn Ave / Cedarvale Ave,7449,43.697139,-79.31469,15,REGULAR,M4C 4K7,M4C,Cosburn Ave / Cedarvale Ave
Berkeley St / Adelaide St E - SMART,Berkeley St / Adelaide St E - SMART,7506,43.653359,-79.365023,11,SMARTMAPFRAME,M5A 2W7,M5A,Berkeley St / Adelaide St E - SMART
Vaughan Rd /Wychwood Ave,Vaughan Rd /Wychwood Ave,7538,43.6882821,-79.4253856,19,REGULAR,M6C 2N5,M6C,Vaughan Rd /Wychwood Ave
Palmerston Ave / Dundas St W,Palmerston Ave / Dundas St W,7536,43.651603,-79.408346,23,REGULAR,M6J 1V2,M6J,Palmerston Ave / Dundas St W
King St W / York St,King St W / York St,7005,43.6480008,-79.383177,23,REGULAR,NULL,NULL,King St W / York St
Havelock St / Dufferin Park,Havelock St / Dufferin Park,7297,43.657343,-79.43112,19,REGULAR,NULL,NULL,Havelock St / Dufferin Park
Fleming Cres / Bayview Ave,Fleming Cres / Bayview Ave,7594,43.707045,-79.375437,15,REGULAR,M4G 3C1,M4G,Fleming Cres / Bayview Ave
Barton St / Howland St - SMART,Barton St / Howland St - SMART,7420,43.66842,-79.410585,19,SMARTMAPFRAME,M5R 3B5,M5R,Barton St / Howland St - SMART
Dundas St E / Pembroke St - SMART,Dundas St E / Pembroke St - SMART,7267,43.658295,-79.372346,16,SMARTMAPFRAME,NULL,NULL,Dundas St E / Pembroke St - SMART
Queen St W / Cowan Ave,Queen St W / Cowan Ave,7198,43.6409,-79.432837,19,REGULAR,NULL,NULL,Queen St W / Cowan Ave
Bay St / Bloor St W (East Side),Bay St / Bloor St W (East Side),7029,43.66943,-79.38915,15,REGULAR,M6G1X2,M6G,Bay St / Bloor St W (East Side)
Yonge St / Davisville Ave,Yonge St / Davisville Ave,7378,43.6975969,-79.39654,15,REGULAR,NULL,NULL,Yonge St / Davisville Ave
Broadview Ave / Westwood Ave,Broadview Ave / Westwood Ave,7350,43.6848652,-79.356602,23,REGULAR,NULL,NULL,Broadview Ave / Westwood Ave
Niagara St / Portland St,Niagara St / Portland St,7717,43.6425791,-79.4001173,11,REGULAR,M5V 1C2,M5V,NULL
25 York St – Union Station South,25 York St – Union Station South,7070,43.643667,-79.380414,11,REGULAR,NULL,NULL,25 York St – Union Station South
1303 Yonge St - SMART,1303 Yonge St - SMART,7677,43.6846177,-79.3924592,16,SMARTMAPFRAME,M4T 2Y9,M4T,1303 Yonge St - SMART
Fort York Blvd / Garrison Rd,Fort York Blvd / Garrison Rd,7211,43.637381,-79.406112,15,REGULAR,M5V 1B2,M5V,Fort York Blvd / Garrison Rd
Weston Rd / St Clair Ave W - SMART,Weston Rd / St Clair Ave W - SMART,7566,43.673019,-79.467994,19,REGULAR,M6N 3P4,M6N,Weston Rd / St Clair Ave W - SMART
Gerrard St E / Victoria Park Ave - SMART,Gerrard St E / Victoria Park Ave - SMART,7504,43.686962,-79.286864,16,SMARTMAPFRAME,M4E 3T6,M4E,Gerrard St E / Victoria Park Ave - SMART
Simcoe St / Wellington St W South,Simcoe St / Wellington St W South,7057,43.6458569,-79.3853654,27,REGULAR,M6a1a1,M6a,Simcoe St / Wellington St South
Lake Shore Blvd W / Thirty Ninth Street,Lake Shore Blvd W / Thirty Ninth Street,7552,43.5927419,-79.5403301,19,REGULAR,M8W 1P9,M8W,Lake Shore Blvd W / Thirty Ninth Street
